정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
열우물전통시장,40028,504,2518,504,2518,0,100
열우물전통시장,40030,2028,524,2028,524,0,85
열우물전통시장입구,40036,2594,527,2594,527,0,104
열우물전통시장입구,40038,468,4011,468,4011,0,149
열우물테니스경기장,40053,3439,3593,3434,3593,5,234
열우물테니스경기장,40054,939,1199,939,1199,0,71
열우물테니스경기장,40063,517,1213,517,1213,0,57
열우물테니스경기장,40064,389,711,389,711,0,36
열우물테니스경기장,42023,4327,4971,4315,4971,12,309
열우물테니스경기장·축산물시장,42024,3669,2963,3650,2963,19,221
염전공원,37681,2055,4,2055,4,0,68
염창역.서울도시가스(중),16001,1773,70,1773,70,0,61
염창역.서울도시가스(중),16002,81,1591,81,1591,0,55
영골,43954,12,0,12,0,0,0
영골,43955,221,138,221,138,0,11
영남1단지.고합아파트,70164,313,269,313,269,0,19
영남아파트,37060,4134,3940,4134,3940,0,269
영남아파트,37063,5114,4327,5114,4327,0,314
영남아파트,38203,2490,1711,2490,1711,0,140
영남아파트,38205,1109,2949,1109,2949,0,135
영림몰딩도어,39943,86,224,86,224,0,10
영림산업,39028,770,3856,770,3856,0,154
영림임업,39026,1291,3973,1291,3973,0,175
영사목장 앞,90390,1,5,1,5,0,0
영사목장 앞,90391,4,5,4,5,0,0
영선고등학교,40853,6,984,6,984,0,33
영은교회,43037,62,55,61,55,1,3
영은교회,43139,24,114,24,114,0,4
영은슈퍼,89052,9,926,9,926,0,31
영은슈퍼,89064,1027,16,1027,16,0,34
영음교회.효성해링턴플레이스,41422,3364,438,3359,438,5,126
영종2동행정복지센터,35905,560,279,560,279,0,27
영종2동행정복지센터,35906,288,602,288,602,0,29
영종KCC스위첸.한양수자인,35449,544,3077,544,3077,0,120
영종KCC스위첸옆문,35755,1263,9227,1263,9227,0,349
영종KCC스위첸옆문,35756,8689,769,8689,769,0,315
영종LH2단지,35483,2081,2619,2081,2619,0,156
영종LH67단지,35873,1992,1361,1992,1361,0,111
영종LH아파트입구,35390,158,567,158,567,0,24
영종e편한세상센텀베뉴·센트럴푸르지오자이,35660,6413,4015,6412,4015,1,347
영종e편한세상센텀베뉴·화성파크드림2차,35886,4508,4462,4508,4462,0,299
영종고등학교,35493,2817,3115,2816,3115,1,197
영종고등학교,35496,2508,2088,2508,2088,0,153
영종공원묘지입구,35626,1349,743,1346,743,3,69
영종공원묘지입구,35627,1,0,1,0,0,0
영종교회,35306,341,404,341,404,0,24
영종교회,35545,1040,823,1040,823,0,62
영종국제병원,35881,656,2324,655,2324,1,99
영종대교휴게소,42942,1,92,1,92,0,3
영종대교휴게소,42943,44,2,44,2,0,1
영종동행정복지센터,35672,71,169,71,169,0,8
영종동행정복지센터,35673,61,88,61,88,0,4
영종물류고등학교·영종자이아파트,35314,4642,4809,4639,4809,3,315
영종물류고등학교앞·영종자이아파트,35307,6037,4420,6033,4420,4,348
영종버스공영차고지,35837,49,3,49,3,0,1
영종버스공영차고지,35838,2,140,2,140,0,4
영종베르힐스카이시티,35913,31,29,31,29,0,2
영종베르힐스카이시티,35914,50,38,50,38,0,2
영종블루오션,35819,224,143,224,143,0,12
영종블루오션,35820,116,217,116,217,0,11
영종블루오션2차,35876,3586,2037,3586,2037,0,187
영종블루오션2차,35877,2387,3586,2387,3586,0,199
영종선착장입구,35833,4736,3296,4734,3296,2,267
영종선착장입구,35834,8,312,8,312,0,10
영종성당.정도사,35850,45,76,45,76,0,4
영종성당.정도사,35851,4,32,4,32,0,1
영종센트럴푸르지오자이·e편한세상센텀베뉴,35661,5873,5110,5873,5110,0,366
영종소방서,35765,5,55,5,55,0,2
영종아레나,35830,191,1,191,1,0,6
영종아레나,35831,2,327,2,327,0,10
영종역(2번출구),35870,20,1782,17,1782,3,60
영종역(운북차고지·청라방향),35567,4085,56253,4077,56253,8,2011
영종역(하늘도시·전소방향),35566,67023,1983,67009,1983,14,2300
영종역사관,35624,221,153,221,153,0,12
영종역사관,35625,106,212,106,212,0,10
영종유승한내들스카이스테이,35759,2310,779,2310,779,0,102
영종유승한내들스카이스테이,35760,859,1513,859,1513,0,79
영종자이아파트,35835,57,135,57,135,0,6
영종자이아파트,35836,362,153,362,153,0,17
영종장로교회,35580,60,86,60,86,0,4
영종장로교회,35581,44,33,42,33,2,2
영종주공7단지,35111,1228,1872,1228,1872,0,103
영종주야간보호센터,35854,2,20,2,20,0,0
영종주야간보호센터,35855,2,2,2,2,0,0
영종중학교,35463,2504,2483,2504,2483,0,166
영종중학교,35464,6919,1824,6918,1824,1,291
영종진공원,35276,1251,635,1251,635,0,62
영종진공원,35279,253,2072,253,2072,0,77
영종풍림아이원1차,35110,22,159,22,159,0,6
영종하늘도서관,35585,1188,1550,1188,1550,0,91
영종하늘도서관,35586,1104,958,1102,958,2,68
영종하늘체육공원,35918,17,1064,17,1064,0,36
영종하늘체육공원,35919,363,17,363,17,0,12
영종화성파크드림2차·e편한세상센텀베뉴,35885,3937,3042,3937,3042,0,232
영종힐스테이트(904동),35880,417,1009,417,1009,0,47
영진아파트,40551,90,666,90,666,0,25
영창한의원,40452,7249,6553,7249,6553,0,460
영풍아파트,36040,9258,2689,9251,2689,7,398
영풍아파트,39546,53,355,53,355,0,13
영흥감리교회입구,44201,437,159,437,159,0,19
영흥공립어린이집,44205,15,8,15,8,0,0
영흥대교입구,44180,0,6,0,6,0,0
영흥면사무소,44131,1,25,0,25,1,0
영흥면사무소,44181,2,0,2,0,0,0
영흥버스터미널,44004,4469,3794,4469,3794,0,275
영흥버스터미널,44116,1669,1624,1669,1624,0,109
영흥수협공판장입구,44009,524,6,524,6,0,17
영흥수협공판장입구,44010,5,791,5,791,0,26
영흥플로레도커피,44144,3,17,3,17,0,0
예단포,35319,152,357,152,357,0,16
예단포,35395,477,233,477,233,0,23
예단포물양장,35622,186,4,184,4,2,6
예단포물양장,35623,57,261,56,261,1,10
예드림빌라입구,35546,62,13,62,13,0,2
예드림빌라입구,35547,23,71,23,71,0,3
예림임업,39053,47,435,47,435,0,16
예림임업,39054,219,103,219,103,0,10
예비군교육장,41272,903,1585,903,1585,0,82
예비군교육장,41273,2272,3239,2272,3239,0,183
예비군교육장입구,90010,26,0,26,0,0,0
예비군교육장입구,90011,1,26,1,26,0,0
예비군훈련장,43201,140,2,139,2,1,4
예비군훈련장,43315,6,105,6,105,0,3
예송중학교,38592,2727,1784,2727,1784,0,150
예송중학교,38593,2368,3583,2361,3583,7,198
예술회관사거리,37254,3109,6041,3093,6041,16,305
예술회관역,39206,3193,10621,3193,10621,0,460
예술회관역(4번출구),39207,5338,4957,5338,4957,0,343
예원앞,41499,78,106,78,106,0,6
예원앞,41515,30,0,30,0,0,1
옐림교회,40854,5952,5575,5952,5575,0,384
옐림교회앞,35684,7,43,7,43,0,1
옐림교회앞,35694,69,42,67,42,2,3
오공본드,39108,4594,3350,4594,3350,0,264
오관물입구,35860,2,0,2,0,0,0
오두돈대,43361,93,4,91,4,2,3
오두돈대,43536,6,55,6,55,0,2
오두리(넙성입구),43638,20,4,19,4,1,0
오두리(넙성입구),43675,8,47,8,47,0,1
오두리종점,43137,89,11,86,11,3,3
오두리종점,43529,14,75,14,75,0,2
오두마을입구,43557,12,0,12,0,0,0
오두마을입구,43647,0,15,0,15,0,0
오라니마을,80360,93,111,93,111,0,6
오류골,43013,250,96,249,96,1,11
오류골,43014,38,206,38,206,0,8
오류내,43389,8,374,8,374,0,12
오류내,43757,412,26,410,26,2,14
오류동마을,41353,1148,830,1148,830,0,65
오류동마을,41354,796,2455,796,2455,0,108
오류동역입구,89058,2,52,2,52,0,1
오류동역입구,89066,68,404,68,404,0,15
오리정,80125,830,137,830,137,0,32
오리정,80126,83,688,83,688,0,25
오상리고인들,43265,26,20,26,20,0,1
오상리고인들,43379,25,21,25,21,0,1
오상입구,43119,28,20,28,20,0,1
오상입구,43120,27,48,27,48,0,2
오상입구,43390,5,92,5,92,0,3
오상입구,43565,55,8,53,8,2,2
오성교회,43555,14,4,14,4,0,0
오성교회,43853,3,21,3,21,0,0
오성아파트,40480,5764,1809,5756,1809,8,252
오성아파트,40487,1688,4755,1686,4755,2,214
오성아파트,40493,583,1964,583,1964,0,84
오성아파트,40721,214,497,214,497,0,23
오성정밀,39490,418,614,418,614,0,34
오션포레베네스트하우스,35909,65,1,65,1,0,2
오션포레베네스트하우스,35910,0,44,0,44,0,1
오이도역,70031,837,5427,837,5427,0,208
오이도역,70032,4958,803,4958,803,0,192
오정휴먼시아(중),57044,519,3050,519,3050,0,118
오정휴먼시아(중),57045,2943,406,2943,406,0,111
오조산공원,41246,2006,1219,2006,1219,0,107
오조산공원,41249,3489,3523,3479,3523,10,233
오조산공원,41621,13,437,12,437,1,15
